"Month","Monthly riverflow in cms, Oostanaula River at resaca, GA, 1893 ? 1960"
"1893-01",28.317
"1893-02",43.891
"1893-03",39.644
"1893-04",50.234
"1893-05",170.411
"1893-06",100.468
"1893-07",64.506
"1893-08",93.106
"1893-09",88.519
"1893-10",32.989
"1893-11",27.213
"1893-12",29.563
"1894-01",16.367
"1894-02",16.112
"1894-03",23.956
"1894-04",59.324
"1894-05",104.093
"1894-06",87.782
"1894-07",55.190
"1894-08",40.663
"1894-09",21.719
"1894-10",21.662
"1894-11",23.333
"1894-12",15.688
"1895-01",9.599
"1895-02",13.167
"1895-03",64.251
"1895-04",185.645
"1895-05",92.228
"1895-06",173.243
"1895-07",102.139
"1895-08",88.745
"1895-09",53.151
"1895-10",58.871
"1895-11",55.614
"1895-12",27.637
"1896-01",19.510
"1896-02",27.439
"1896-03",36.755
"1896-04",67.932
"1896-05",119.667
"1896-06",69.716
"1896-07",71.415
"1896-08",46.779
"1896-09",59.550
"1896-10",58.418
"1896-11",18.802
"1896-12",16.056
"1897-01",17.726
"1897-02",51.480
"1897-03",42.447
"1897-04",56.237
"1897-05",132.126
"1897-06",272.465
"1897-07",156.224
"1897-08",63.232
"1897-09",34.263
"1897-10",54.312
"1897-11",27.637
"1897-12",13.677
"1898-01",14.385
"1898-02",15.914
"1898-03",59.834
"1898-04",109.501
"1898-05",43.155
"1898-06",66.630
"1898-07",123.660
"1898-08",37.945
"1898-09",32.140
"1898-10",34.717
"1898-11",59.041
"1898-12",122.301
"1899-01",136.770
"1899-02",68.470
"1899-03",64.902
"1899-04",86.791
"1899-05",275.410
"1899-06",277.080
"1899-07",142.972
"1899-08",60.995
"1899-09",43.042
"1899-10",84.214
"1899-11",37.407
"1899-12",30.950
"1900-01",18.038
"1900-02",21.549
"1900-03",51.961
"1900-04",86.989
"1900-05",146.568
"1900-06",151.184
"1900-07",121.791
"1900-08",50.602
"1900-09",146.172
"1900-10",82.289
"1900-11",39.191
"1900-12",43.778
"1901-01",32.678
"1901-02",58.871
"1901-03",83.960
"1901-04",167.239
"1901-05",123.037
"1901-06",151.495
"1901-07",177.207
"1901-08",146.285
"1901-09",87.641
"1901-10",47.119
"1901-11",161.718
"1901-12",74.757
"1902-01",41.824
"1902-02",33.471
"1902-03",167.806
"1902-04",118.591
"1902-05",150.476
"1902-06",204.136
"1902-07",95.909
"1902-08",50.064
"1902-09",34.886
"1902-10",26.306
"1902-11",22.625
"1902-12",26.391
"1903-01",20.983
"1903-02",27.326
"1903-03",71.528
"1903-04",68.385
"1903-05",225.685
"1903-06",250.463
"1903-07",151.552
"1903-08",56.605
"1903-09",91.520
"1903-10",56.294
"1903-11",47.487
"1903-12",16.537
"1904-01",16.509
"1904-02",21.436
"1904-03",18.066
"1904-04",38.681
"1904-05",61.363
"1904-06",100.610
"1904-07",52.046
"1904-08",30.327
"1904-09",28.883
"1904-10",20.162
"1904-11",31.064
"1904-12",10.506
"1905-01",7.362
"1905-02",9.373
"1905-03",46.553
"1905-04",79.004
"1905-05",195.047
"1905-06",77.022
"1905-07",59.041
"1905-08",97.014
"1905-09",43.551
"1905-10",49.753
"1905-11",48.280
"1905-12",22.654
"1906-01",25.457
"1906-02",20.728
"1906-03",144.020
"1906-04",148.862
"1906-05",60.513
"1906-06",172.421
"1906-07",95.456
"1906-08",62.410
"1906-09",102.252
"1906-10",115.561
"1906-11",88.434
"1906-12",88.292
"1907-01",145.804
"1907-02",170.128
"1907-03",97.099
"1907-04",80.760
"1907-05",132.410
"1907-06",107.547
"1907-07",74.388
"1907-08",89.538
"1907-09",83.988
"1907-10",50.178
"1907-11",32.253
"1907-12",50.517
"1908-01",32.111
"1908-02",75.351
"1908-03",86.876
"1908-04",104.942
"1908-05",169.816
"1908-06",119.299
"1908-07",107.094
"1908-08",75.464
"1908-09",41.796
"1908-10",37.492
"1908-11",35.934
"1908-12",20.105
"1909-01",18.548
"1909-02",15.574
"1909-03",94.267
"1909-04",104.319
"1909-05",209.148
"1909-06",268.132
"1909-07",111.852
"1909-08",142.972
"1909-09",180.633
"1909-10",73.935
"1909-11",67.451
"1909-12",33.867
"1910-01",27.637
"1910-02",15.914
"1910-03",46.893
"1910-04",53.802
"1910-05",74.643
"1910-06",63.855
"1910-07",50.517
"1910-08",150.816
"1910-09",112.163
"1910-10",123.150
"1910-11",60.315
"1910-12",52.726
"1911-01",32.649
"1911-02",26.052
"1911-03",55.756
"1911-04",108.454
"1911-05",105.650
"1911-06",64.817
"1911-07",152.118
"1911-08",54.595
"1911-09",34.915
"1911-10",36.416
"1911-11",23.050
"1911-12",13.082
"1912-01",30.752
"1912-02",39.842
"1912-03",77.701
"1912-04",91.973
"1912-05",156.875
"1912-06",205.014
"1912-07",162.171
"1912-08",105.848
"1912-09",84.044
"1912-10",74.728
"1912-11",58.050
"1912-12",33.499
"1913-01",29.195
"1913-02",24.721
"1913-03",49.073
"1913-04",125.727
"1913-05",143.963
"1913-06",252.756
"1913-07",80.023
"1913-08",71.472
"1913-09",69.546
"1913-10",38.907
"1913-11",23.616
"1913-12",19.454
"1914-01",16.764
"1914-02",15.008
"1914-03",29.393
"1914-04",33.414
"1914-05",66.545
"1914-06",45.420
"1914-07",96.872
"1914-08",35.679
"1914-09",19.963
"1914-10",37.293
"1914-11",28.147
"1914-12",14.640
"1915-01",27.751
"1915-02",15.235
"1915-03",135.071
"1915-04",128.105
"1915-05",157.810
"1915-06",82.827
"1915-07",50.999
"1915-08",62.439
"1915-09",44.033
"1915-10",46.751
"1915-11",33.499
"1915-12",29.619
"1916-01",64.789
"1916-02",40.040
"1916-03",132.948
"1916-04",128.842
"1916-05",128.927
"1916-06",91.548
"1916-07",49.328
"1916-08",43.580
"1916-09",53.830
"1916-10",223.477
"1916-11",57.427
"1916-12",26.646
"1917-01",26.618
"1917-02",30.073
"1917-03",63.005
"1917-04",143.736
"1917-05",184.145
"1917-06",370.101
"1917-07",129.012
"1917-08",58.814
"1917-09",62.071
"1917-10",55.982
"1917-11",53.038
"1917-12",39.219
"1918-01",27.467
"1918-02",18.916
"1918-03",17.698
"1918-04",126.237
"1918-05",142.122
"1918-06",35.906
"1918-07",100.978
"1918-08",62.920
"1918-09",41.994
"1918-10",31.573
"1918-11",27.920
"1918-12",22.823
"1919-01",42.787
"1919-02",67.677
"1919-03",162.935
"1919-04",164.493
"1919-05",168.712
"1919-06",189.383
"1919-07",96.164
"1919-08",80.080
"1919-09",55.982
"1919-10",69.065
"1919-11",50.121
"1919-12",29.591
"1920-01",41.739
"1920-02",33.442
"1920-03",112.984
"1920-04",128.332
"1920-05",184.456
"1920-06",178.566
"1920-07",280.167
"1920-08",115.703
"1920-09",58.956
"1920-10",102.932
"1920-11",195.103
"1920-12",89.170
"1921-01",39.162
"1921-02",48.507
"1921-03",197.708
"1921-04",130.088
"1921-05",287.982
"1921-06",82.430
"1921-07",116.212
"1921-08",62.807
"1921-09",40.210
"1921-10",51.707
"1921-11",52.131
"1921-12",27.949
"1922-01",29.761
"1922-02",82.062
"1922-03",81.213
"1922-04",220.050
"1922-05",159.594
"1922-06",257.938
"1922-07",142.094
"1922-08",118.761
"1922-09",81.043
"1922-10",43.806
"1922-11",28.543
"1922-12",21.691
"1923-01",20.813
"1923-02",17.075
"1923-03",89.198
"1923-04",90.331
"1923-05",138.724
"1923-06",129.295
"1923-07",130.541
"1923-08",187.146
"1923-09",102.790
"1923-10",90.274
"1923-11",61.816
"1923-12",31.262
"1924-01",19.765
"1924-02",24.636
"1924-03",81.581
"1924-04",152.854
"1924-05",106.924
"1924-06",141.329
"1924-07",173.243
"1924-08",107.491
"1924-09",72.548
"1924-10",85.998
"1924-11",29.053
"1924-12",23.248
"1925-01",17.188
"1925-02",15.631
"1925-03",58.814
"1925-04",178.085
"1925-05",70.226
"1925-06",78.523
"1925-07",58.729
"1925-08",35.566
"1925-09",17.953
"1925-10",15.914
"1925-11",8.269
"1925-12",7.277
"1926-01",35.736
"1926-02",56.860
"1926-03",69.348
"1926-04",122.244
"1926-05",87.386
"1926-06",100.412
"1926-07",86.791
"1926-08",39.191
"1926-09",34.717
"1926-10",39.445
"1926-11",75.068
"1926-12",24.183
"1927-01",20.530
"1927-02",49.555
"1927-03",164.351
"1927-04",68.300
"1927-05",122.697
"1927-06",141.981
"1927-07",161.548
"1927-08",57.766
"1927-09",63.090
"1927-10",73.171
"1927-11",42.730
"1927-12",22.710
"1928-01",20.162
"1928-02",36.047
"1928-03",122.697
"1928-04",83.308
"1928-05",75.493
"1928-06",117.968
"1928-07",170.128
"1928-08",99.081
"1928-09",112.588
"1928-10",111.512
"1928-11",63.911
"1928-12",113.919
"1929-01",40.946
"1929-02",41.173
"1929-03",35.538
"1929-04",95.909
"1929-05",116.835
"1929-06",278.638
"1929-07",125.529
"1929-08",238.456
"1929-09",84.809
"1929-10",51.310
"1929-11",55.529
"1929-12",57.710
"1930-01",35.311
"1930-02",260.713
"1930-03",95.768
"1930-04",89.566
"1930-05",103.073
"1930-06",140.253
"1930-07",84.384
"1930-08",62.184
"1930-09",33.754
"1930-10",23.843
"1930-11",17.160
"1930-12",23.645
"1931-01",20.048
"1931-02",56.096
"1931-03",47.233
"1931-04",66.205
"1931-05",65.554
"1931-06",71.132
"1931-07",147.899
"1931-08",64.789
"1931-09",25.400
"1931-10",26.901
"1931-11",26.108
"1931-12",17.528
"1932-01",11.214
"1932-02",13.196
"1932-03",159.452
"1932-04",152.260
"1932-05",230.414
"1932-06",97.155
"1932-07",109.020
"1932-08",111.682
"1932-09",60.230
"1932-10",89.340
"1932-11",38.454
"1932-12",29.931
"1933-01",63.118
"1933-02",128.587
"1933-03",369.818
"1933-04",173.837
"1933-05",179.019
"1933-06",115.844
"1933-07",100.015
"1933-08",103.357
"1933-09",38.568
"1933-10",36.614
"1933-11",34.150
"1933-12",31.347
"1934-01",15.574
"1934-02",17.132
"1934-03",20.133
"1934-04",63.685
"1934-05",58.474
"1934-06",203.910
"1934-07",53.859
"1934-08",38.058
"1934-09",48.082
"1934-10",39.814
"1934-11",52.868
"1934-12",20.416
"1935-01",68.074
"1935-02",27.807
"1935-03",35.821
"1935-04",103.980
"1935-05",90.189
"1935-06",150.023
"1935-07",160.981
"1935-08",78.296
"1935-09",33.017
"1935-10",25.627
"1935-11",24.692
"1935-12",11.072
"1936-01",10.534
"1936-02",51.508
"1936-03",34.009
"1936-04",279.063
"1936-05",225.912
"1936-06",139.149
"1936-07",291.947
"1936-08",52.641
"1936-09",28.005
"1936-10",29.704
"1936-11",32.310
"1936-12",20.700
"1937-01",22.455
"1937-02",18.576
"1937-03",78.862
"1937-04",297.327
"1937-05",142.575
"1937-06",81.043
"1937-07",134.420
"1937-08",128.757
"1937-09",46.893
"1937-10",31.120
"1937-11",44.826
"1937-12",23.418
"1938-01",28.628
"1938-02",20.671
"1938-03",32.508
"1938-04",55.954
"1938-05",46.978
"1938-06",130.881
"1938-07",260.713
"1938-08",56.492
"1938-09",90.387
"1938-10",133.882
"1938-11",58.503
"1938-12",27.382
"1939-01",16.764
"1939-02",36.416
"1939-03",28.657
"1939-04",77.843
"1939-05",245.026
"1939-06",187.344
"1939-07",95.201
"1939-08",68.385
"1939-09",48.620
"1939-10",35.538
"1939-11",38.568
"1939-12",19.454
"1940-01",14.074
"1940-02",12.743
"1940-03",18.633
"1940-04",30.894
"1940-05",92.058
"1940-06",103.526
"1940-07",70.877
"1940-08",36.246
"1940-09",36.585
"1940-10",47.686
"1940-11",32.338
"1940-12",16.509
"1941-01",11.978
"1941-02",17.840
"1941-03",40.606
"1941-04",49.894
"1941-05",29.081
"1941-06",57.370
"1941-07",42.107
"1941-08",20.020
"1941-09",21.747
"1941-10",89.736
"1941-11",28.034
"1941-12",12.997
"1942-01",13.762
"1942-02",21.096
"1942-03",44.854
"1942-04",54.538
"1942-05",143.708
"1942-06",161.661
"1942-07",53.689
"1942-08",44.967
"1942-09",44.486
"1942-10",40.068
"1942-11",85.092
"1942-12",35.849
"1943-01",28.034
"1943-02",25.230
"1943-03",162.595
"1943-04",176.329
"1943-05",129.861
"1943-06",196.179
"1943-07",101.997
"1943-08",54.453
"1943-09",34.405
"1943-10",57.427
"1943-11",36.472
"1943-12",29.818
"1944-01",18.463
"1944-02",21.776
"1944-03",35.198
"1944-04",70.934
"1944-05",237.154
"1944-06",278.468
"1944-07",171.374
"1944-08",79.174
"1944-09",36.897
"1944-10",26.986
"1944-11",24.013
"1944-12",15.206
"1945-01",17.217
"1945-02",16.594
"1945-03",34.320
"1945-04",71.415
"1945-05",193.517
"1945-06",106.075
"1945-07",94.720
"1945-08",90.529
"1945-09",36.500
"1945-10",32.564
"1945-11",38.313
"1945-12",24.721
"1946-01",23.022
"1946-02",37.973
"1946-03",104.008
"1946-04",267.283
"1946-05",304.123
"1946-06",162.964
"1946-07",128.077
"1946-08",173.384
"1946-09",83.846
"1946-10",58.814
"1946-11",26.646
"1946-12",23.673
"1947-01",23.730
"1947-02",50.517
"1947-03",51.084
"1947-04",350.846
"1947-05",86.536
"1947-06",108.284
"1947-07",104.291
"1947-08",55.898
"1947-09",41.371
"1947-10",26.929
"1947-11",19.510
"1947-12",15.036
"1948-01",16.424
"1948-02",31.743
"1948-03",39.389
"1948-04",45.817
"1948-05",251.284
"1948-06",135.326
"1948-07",109.360
"1948-08",39.332
"1948-09",25.712
"1948-10",31.290
"1948-11",41.739
"1948-12",18.293
"1949-01",14.696
"1949-02",159.905
"1949-03",183.380
"1949-04",215.236
"1949-05",202.805
"1949-06",93.814
"1949-07",119.752
"1949-08",84.781
"1949-09",48.054
"1949-10",71.359
"1949-11",42.957
"1949-12",46.213
"1950-01",54.510
"1950-02",85.007
"1950-03",75.804
"1950-04",145.605
"1950-05",150.193
"1950-06",207.563
"1950-07",76.540
"1950-08",52.754
"1950-09",82.657
"1950-10",87.669
"1950-11",43.353
"1950-12",102.620
"1951-01",33.074
"1951-02",29.336
"1951-03",54.708
"1951-04",62.892
"1951-05",106.585
"1951-06",200.625
"1951-07",230.301
"1951-08",52.471
"1951-09",44.146
"1951-10",46.666
"1951-11",26.703
"1951-12",32.649
"1952-01",20.048
"1952-02",61.363
"1952-03",191.309
"1952-04",147.757
"1952-05",109.841
"1952-06",245.649
"1952-07",91.294
"1952-08",54.595
"1952-09",48.110
"1952-10",21.124
"1952-11",30.979
"1952-12",24.211
"1953-01",15.688
"1953-02",22.370
"1953-03",50.206
"1953-04",146.625
"1953-05",197.482
"1953-06",108.992
"1953-07",62.240
"1953-08",111.483
"1953-09",30.667
"1953-10",40.097
"1953-11",18.066
"1953-12",23.220
"1954-01",14.810
"1954-02",15.178
"1954-03",58.673
"1954-04",256.409
"1954-05",67.168
"1954-06",130.796
"1954-07",111.115
"1954-08",61.816
"1954-09",40.012
"1954-10",23.333
"1954-11",24.494
"1954-12",10.874
"1955-01",9.741
"1955-02",13.790
"1955-03",50.432
"1955-04",58.276
"1955-05",161.378
"1955-06",110.606
"1955-07",120.800
"1955-08",75.691
"1955-09",36.331
"1955-10",37.378
"1955-11",22.285
"1955-12",12.743
"1956-01",18.151
"1956-02",30.469
"1956-03",30.639
"1956-04",27.128
"1956-05",262.497
"1956-06",134.165
"1956-07",175.225
"1956-08",82.091
"1956-09",32.791
"1956-10",32.140
"1956-11",19.086
"1956-12",18.179
"1957-01",15.518
"1957-02",17.330
"1957-03",63.628
"1957-04",75.833
"1957-05",272.606
"1957-06",102.394
"1957-07",173.441
"1957-08",51.537
"1957-09",57.002
"1957-10",30.752
"1957-11",16.027
"1957-12",47.884
"1958-01",46.893
"1958-02",169.137
"1958-03",130.173
"1958-04",83.846
"1958-05",124.849
"1958-06",104.659
"1958-07",117.345
"1958-08",142.717
"1958-09",33.952
"1958-10",71.387
"1958-11",34.348
"1958-12",28.855
"1959-01",23.163
"1959-02",23.050
"1959-03",27.892
"1959-04",76.767
"1959-05",87.188
"1959-06",82.685
"1959-07",130.059
"1959-08",61.108
"1959-09",65.129
"1959-10",36.217
"1959-11",21.521
"1959-12",23.390
"1960-01",33.810
"1960-02",68.357
"1960-03",80.533
"1960-04",91.209
"1960-05",134.647
"1960-06",164.747
"1960-07",85.177
"1960-08",45.987
"1960-09",28.260
"1960-10",21.124
"1960-11",33.980
"1960-12",28.317